x_value,brd1V,brd1C
0,18,0.08
1,18,0.08
2,20,0.09
3,15,0.07
4,18,0.08
5,17,0.08
6,20,0.09
7,20,0.09
8,858,3.90
9,816,3.71
10,827,3.76
11,815,3.71
12,801,3.64
13,809,3.68
14,812,3.69
15,815,3.71
16,683,3.11
17,17,0.08
18,18,0.08
19,13,0.06
20,17,0.08
21,17,0.08
22,21,0.10
23,20,0.09
24,17,0.08
25,17,0.08
26,18,0.08
27,21,0.10
28,21,0.10
29,20,0.09
30,18,0.08
31,18,0.08
32,18,0.08
33,20,0.09
34,20,0.09
35,21,0.10
36,1543,7.01
37,1515,6.89
38,1469,6.68
39,256,1.17
40,256,1.17
41,242,1.10
42,242,1.10
43,255,1.16
44,252,1.15
45,239,1.09
46,253,1.15
47,1051,4.78
48,998,4.54
49,995,4.53
50,1007,4.58
51,247,1.13
52,240,1.09
53,258,1.17
54,1494,6.80
55,1471,6.69
56,1487,6.76
57,1492,6.78
58,1484,6.75
59,1476,6.71
60,1489,6.77
61,1468,6.68
62,1473,6.70
63,249,1.13
64,243,1.11
65,253,1.15
66,20,0.09
67,17,0.08
68,22,0.10
69,20,0.09
70,17,0.08
71,21,0.10
72,21,0.10
73,17,0.08
74,13,0.06
75,21,0.10
76,20,0.09
77,18,0.08
78,20,0.09
79,18,0.08
80,15,0.07
81,20,0.09
82,21,0.10
83,20,0.09
84,18,0.08
85,21,0.10
86,21,0.10
87,15,0.07
88,15,0.07
89,39,0.18
90,15,0.07
91,18,0.08
92,18,0.08
93,18,0.08
94,15,0.07
95,13,0.06
96,18,0.08
97,17,0.08
98,15,0.07
99,39,0.18
100,17,0.08
101,18,0.08
102,17,0.08
103,20,0.09
104,15,0.07
105,18,0.08
106,17,0.08
107,21,0.10
108,15,0.07
109,13,0.06
110,20,0.09
111,17,0.08
112,15,0.07
113,13,0.06
114,18,0.08
115,13,0.06
116,20,0.09
117,17,0.08
118,17,0.08
119,13,0.06
120,13,0.06
121,18,0.08
122,20,0.09
123,13,0.06
124,21,0.10
125,17,0.08
126,13,0.06
127,18,0.08
128,55,0.25
129,67,0.31
130,76,0.35
131,68,0.31
132,64,0.29
133,62,0.28
134,61,0.28
135,64,0.29
136,55,0.25
137,57,0.26
138,45,0.20
139,42,0.19
140,41,0.19
141,41,0.19
142,43,0.20
143,40,0.19
144,38,0.18
145,44,0.20
146,40,0.18
147,43,0.20
148,49,0.23
149,40,0.19
150,42,0.19
151,40,0.18
152,64,0.29
153,41,0.19
154,41,0.19
155,41,0.19
156,39,0.18
157,39,0.18
158,40,0.19
159,44,0.20
160,42,0.19
161,40,0.19
162,42,0.19
163,40,0.19
164,44,0.20
165,39,0.18
166,45,0.21
167,45,0.21
168,42,0.19
169,42,0.19
170,41,0.19
171,42,0.19
172,38,0.17
173,47,0.22
174,44,0.20
175,40,0.19
176,40,0.19
177,17,0.08
178,15,0.07
179,15,0.07
180,20,0.09
181,18,0.08
182,15,0.07
183,15,0.07
184,17,0.08
185,13,0.06
186,13,0.06
187,15,0.07
188,18,0.08
189,15,0.07
190,15,0.07
191,21,0.10
192,21,0.10
193,17,0.08
194,18,0.08
195,21,0.10
196,45,0.21
197,43,0.20
198,46,0.21
199,39,0.18
200,39,0.18
201,39,0.18
202,39,0.18
203,39,0.18
204,39,0.18
205,39,0.18
206,39,0.18
207,39,0.18
208,13,0.06
209,13,0.06
210,17,0.08
211,10,0.05
212,17,0.08
213,20,0.09
214,17,0.08
215,239,1.09
216,249,1.13
217,249,1.13
218,232,1.06
219,1487,6.76
220,1526,6.94
221,1512,6.87
222,1466,6.67
223,1524,6.93
224,1551,7.05
225,1458,6.63
226,1495,6.80
227,1539,7.00
228,1549,7.04
229,1465,6.66
230,1491,6.78
231,1534,6.97
232,1532,6.97
233,1471,6.69
234,1513,6.88
235,1537,6.99
236,1468,6.68
237,1516,6.89
238,1545,7.03
239,1489,6.77
240,1528,6.95
241,1536,6.98
242,1502,6.83
243,1487,6.76
244,1532,6.97
245,1544,7.02
246,1487,6.76
247,1511,6.87
248,1547,7.04
249,1510,6.87
250,1472,6.69
251,1543,7.02
252,1532,6.97
253,1474,6.70
254,1536,6.98
255,1547,7.03
256,1494,6.79
257,1467,6.67
258,1547,7.03
259,1537,6.99
260,1483,6.74
261,1530,6.96
262,248,1.13
263,243,1.10
264,238,1.09
265,249,1.13
266,259,1.18
267,241,1.10
268,257,1.17
269,264,1.20
270,254,1.16
271,261,1.19
272,258,1.17
273,256,1.16
274,244,1.11
275,259,1.18
276,266,1.21
277,244,1.11
278,20,0.09
279,25,0.11
280,20,0.09
281,26,0.12
282,20,0.09
283,24,0.11
284,22,0.10
285,17,0.08
286,18,0.08
287,22,0.10
288,21,0.10
289,17,0.08
290,18,0.08
291,18,0.08
292,18,0.08
293,22,0.10
294,26,0.12
295,20,0.09
296,27,0.12
297,21,0.10
298,25,0.11
299,21,0.10
300,18,0.08
301,22,0.10
302,18,0.08
303,18,0.08
304,46,0.21
305,46,0.21
306,46,0.21
307,45,0.20
308,51,0.23
309,43,0.20
310,41,0.19
311,43,0.20
312,47,0.22
313,43,0.20
314,47,0.22
315,47,0.22
316,47,0.22
317,47,0.22
318,47,0.22
319,47,0.22
320,47,0.22
321,47,0.22
322,47,0.22
323,47,0.22
324,47,0.22
325,47,0.22
326,47,0.22
327,47,0.22
328,47,0.22
329,47,0.22
330,47,0.22
331,47,0.22
332,47,0.22
333,47,0.22
334,47,0.22
335,47,0.22
336,47,0.22
337,47,0.22
338,47,0.22
